"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"344",641,641,"G-Bay","IMRP","2024-09-10T18:44:44Z",100,65,-79.8607699999999,44.8683520000001,c(589994.162214578, 4968957.37418226),344,0.0249618002198147,0.0249618002198147,0.752750235005008,0.752750235005008
"345",642,642,"G-Bay","IMRP","2024-09-10T18:44:53Z",100,70,-79.860805,44.868325,c(589991.439442371, 4968954.33610239),345,0.0249556267178322,0.0249556267178322,0.457481446380906,0.457481446380906
"346",643,643,"G-Bay","IMRP","2024-09-10T18:45:01Z",90,70,-79.860831,44.8683,c(589989.424512561, 4968951.53016712),346,0.0251833163311566,0.0251833163311566,0.393823840589681,0.393823840589681
"347",644,644,"G-Bay","IMRP","2024-09-10T18:45:11Z",80,75,-79.860857,44.868271,c(589987.415814172, 4968948.27989296),347,0.0254881478004149,0.0254881478004149,0.440705319246234,0.440705319246234
"348",645,645,"G-Bay","IMRP","2024-09-10T18:45:22Z",90,80,-79.8608819999999,44.8682420000001,c(589985.486109517, 4968945.03072762),348,0.0256763926742321,0.0256763926742321,0.4377796171577,0.4377796171577
"349",646,646,"G-Bay","IMRP","2024-09-10T18:45:33Z",80,80,-79.8609069999999,44.8682190000001,c(589983.547053446, 4968942.44807221),349,0.0253491718342035,0.0253491718342035,0.394439795950463,0.394439795950463
"350",647,647,"G-Bay","IMRP","2024-09-10T18:45:46Z",60,80,-79.8609279999999,44.8681930000001,c(589981.92865393, 4968939.53659511),350,0.0256094732818627,0.0256094732818627,0.386002002698428,0.386002002698428
"351",648,648,"G-Bay","IMRP","2024-09-10T18:46:01Z",70,80,-79.8609539999999,44.8681730000001,c(589979.905924281, 4968937.28608743),351,0.025151691669403,0.025151691669403,0.684213684682758,0.684213684682758
"352",649,649,"G-Bay","IMRP","2024-09-10T18:46:16Z",100,80,-79.860984,44.868119,c(589977.620185748, 4968931.25426219),352,0.027193811373794,0.027193811373794,0.682962767104318,0.682962767104318
"353",650,650,"G-Bay","IMRP","2024-09-10T18:46:26Z",100,90,-79.86101,44.868096,c(589975.602126164, 4968928.67050131),353,0.0273148323586868,0.0273148323586868,0.68364599415679,0.68364599415679
"354",651,651,"G-Bay","IMRP","2024-09-10T18:46:41Z",90,90,-79.861047,44.868073,c(589972.715108374, 4968926.07455335),354,0.0268487690711817,0.0268487690711817,0.683953466875564,0.683953466875564
"355",652,652,"G-Bay","IMRP","2024-09-10T18:46:51Z",100,80,-79.86107,44.8680590000001,c(589970.920011321, 4968924.49388189),355,0.0266945774948743,0.0266945774948743,0.684118492310324,0.684118492310324
"356",653,653,"G-Bay","IMRP","2024-09-10T18:47:00Z",80,75,-79.861101,44.868051,c(589968.48359689, 4968923.57085685),356,0.0255543111277362,0.0255543111277362,0.779582634939857,0.779582634939857
"357",654,654,"G-Bay","IMRP","2024-09-10T18:47:10Z",25,70,-79.861126,44.868046,c(589966.516484533, 4968922.98773475),357,0.0245018756996101,0.0245018756996101,0.781841491240054,0.781841491240054
"358",655,655,"G-Bay","IMRP","2024-09-10T18:47:22Z",25,65,-79.8611519999999,44.8680450000001,c(589964.464144162, 4968922.84784492),358,0.0230807279643922,0.0230807279643922,0.781427261948799,0.781427261948799
"359",656,656,"G-Bay","IMRP","2024-09-10T18:47:30Z",90,65,-79.8611779999999,44.868029,c(589962.435171601, 4968921.04168251),359,0.022698181677965,0.022698181677965,0.767830047800763,0.767830047800763
"360",657,657,"G-Bay","IMRP","2024-09-10T18:47:38Z",10,65,-79.861195,44.8680130000001,c(589961.117163086, 4968919.24549117),360,0.0227673305718369,0.0227673305718369,0.736727996362271,0.736727996362271
"361",658,658,"G-Bay","IMRP","2024-09-10T18:47:52Z",25,70,-79.8611999999999,44.8679950000001,c(589960.750223325, 4968917.24042416),361,0.0236949783572071,0.0236949783572071,0.734083546425219,0.734083546425219
