"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all"
"157",157,157,"Ontario","IMRP","2024-08-07T17:43:40Z",50,43,-77.028871,44.075519,c(817986.109228142, 4887932.2691117),157,0.034649677730179,0.034649677730179,0.547176436493097,0.547176436493097
"158",158,158,"Ontario","IMRP","2024-08-07T17:43:57Z",80,45,-77.02894,44.075496,c(817980.707168116, 4887929.44749781),158,0.0360569883157994,0.0360569883157994,0.548526126063746,0.548526126063746
"159",159,159,"Ontario","IMRP","2024-08-07T17:44:09Z",80,46,-77.028983,44.0754900000001,c(817977.295966653, 4887928.61475343),159,0.035702001437871,0.035702001437871,0.550085894599778,0.550085894599778
"160",160,160,"Ontario","IMRP","2024-08-07T17:51:35Z",30,30,-77.031167,44.074481,c(817807.813085286, 4887808.09412126),160,0.00284681910965807,0.00284681910965807,0.436734942313957,0.436734942313957
"161",161,161,"Ontario","IMRP","2024-08-07T17:52:10Z",80,23,-77.031155,44.074507,c(817808.634667106, 4887811.02852658),161,0.00292397031618714,0.00292397031618714,0.436623821500644,0.436623821500644
"162",162,162,"Ontario","IMRP","2024-08-07T17:52:28Z",80,23,-77.0311349999999,44.0745410000001,c(817810.054001901, 4887814.88247426),162,0.0031841282679962,0.0031841282679962,0.436617430256451,0.436617430256451
"163",163,163,"Ontario","IMRP","2024-08-07T17:52:51Z",100,29,-77.031105,44.0745860000001,c(817812.215165275, 4887819.99692842),163,0.00372923389992924,0.00372923389992924,0.436770235367377,0.436770235367377
"164",164,164,"Ontario","IMRP","2024-08-07T17:53:11Z",100,30,-77.031081,44.0746340000001,c(817813.87976307, 4887825.42142867),164,0.00420677778125603,0.00420677778125603,0.438040733870974,0.438040733870974
"165",165,165,"Ontario","IMRP","2024-08-07T17:53:29Z",100,47,-77.031042,44.0746540000001,c(817816.895659701, 4887827.79371754),165,0.00685658738536502,0.00685658738536502,0.438624399834509,0.438624399834509
"166",166,166,"Ontario","IMRP","2024-08-07T17:53:47Z",100,42,-77.031034,44.074689,c(817817.348666447, 4887831.71236715),166,0.00634790358569766,0.00634790358569766,0.434445540918637,0.434445540918637
"167",167,167,"Ontario","IMRP","2024-08-07T17:55:12Z",100,45,-77.031016,44.074738,c(817818.527416523, 4887837.22475788),167,0.00672380386303397,0.00672380386303397,0.433244853132548,0.433244853132548
