"","OID_","Field1","Lake","Project","Time","PercentCoverage","Depth","POINT_X","POINT_Y","geometry","id_point","fetch_km","weighted_fetch_km","fetch_km_all","weighted_fetch_km_all","id_point","fetch_max4pts","geometry"
"15",15,15,"Ontario","IMRP","2024-08-06T20:21:52Z",60,99,-77.693838,44.023716,c(764968.192369203, 4879822.7383282),15,0.0805243904228126,0.0805243904228126,1.07452825935325,1.07452825935325,15,2831.06331009359,list(c(761875.765686992, 764968.192369203, 4878541.81325578, 4879822.7383282, 0, 0), c(763790.897648602, 764968.192369203, 4876980.49744681, 4879822.7383282, 0, 0), c(762972.838812037, 764968.192369203, 4877827.38477103, 4879822.7383282, 0, 0), c(764968.192369203, 764968.192369203, 4877743.97903226, 4879822.7383282, 0, 0))
"16",16,16,"Ontario","IMRP","2024-08-06T20:34:59Z",0,34,-77.691676,44.022612,c(765146.396012788, 4879707.07051529),16,0.00541659412476853,0.00541659412476853,0.781621444329758,0.781621444329758,16,2684.65737799652,list(c(761930.614669735, 765146.396012788, 4878375.05026937, 4879707.07051529, 0, 0), c(763192.670675736, 765146.396012788, 4877753.34517824, 4879707.07051529, 0, 0), c(764093.367519176, 765146.396012788, 4877164.83484444, 4879707.07051529, 0, 0), c(763403.184074604, 765146.396012788, 4879707.07051529, 4879707.07051529, 0, 0))
"17",17,17,"Ontario","IMRP","2024-08-06T20:37:32Z",70,45,-77.691728,44.0225950000001,c(765142.304152703, 4879705.01482215),17,0.0101946363753198,0.0101946363753198,0.844881228839778,0.844881228839778,17,2681.73931915227,list(c(761930.704371582, 765142.304152703, 4878374.7266359, 4879705.01482215, 0, 0), c(763191.29339181, 765142.304152703, 4877754.00406126, 4879705.01482215, 0, 0), c(764089.319711634, 765142.304152703, 4877162.88550356, 4879705.01482215, 0, 0), c(763402.284254617, 765142.304152703, 4879705.01482215, 4879705.01482215, 0, 0))
"18",18,18,"Ontario","IMRP","2024-08-06T20:39:37Z",30,57,-77.69183,44.0225060000001,c(765134.526123416, 4879694.80077255),18,0.0224942638639065,0.0224942638639065,0.851419863530278,0.851419863530278,18,2673.01006245497,list(c(761932.434378983, 765134.526123416, 4878368.45094404, 4879694.80077255, 0, 0), c(763192.9411406, 765134.526123416, 4877753.21578973, 4879694.80077255, 0, 0), c(764085.034213392, 765134.526123416, 4877161.10316977, 4879694.80077255, 0, 0), c(763396.675340741, 765134.526123416, 4879694.80077255, 4879694.80077255, 0, 0))
"19",19,19,"Ontario","IMRP","2024-08-06T20:41:15Z",10,65,-77.692084,44.0223770000001,c(765114.74394039, 4879679.65440024),19,0.0469887828868529,0.0469887828868529,0.877348397653853,0.877348397653853,19,2656.84913920217,list(c(761933.564601126, 765114.74394039, 4878361.96677358, 4879679.65440024, 0, 0), c(764066.947403213, 765114.74394039, 4877150.04978958, 4879679.65440024, 0, 0), c(763189.856986644, 765114.74394039, 4877754.7674465, 4879679.65440024, 0, 0), c(763390.856624556, 765114.74394039, 4879679.65440024, 4879679.65440024, 0, 0))
"20",20,20,"Ontario","IMRP","2024-08-06T20:43:32Z",10,73,-77.6924749999999,44.0221910000001,c(765084.235551283, 4879657.73583196),20,0.0850615970512924,0.0850615970512924,1.04378978707929,1.04378978707929,20,2714.88407330745,list(c(761936.173359646, 765084.235551283, 4878353.76577699, 4879657.73583196, 0, 0), c(764038.533533033, 765084.235551283, 4877133.1878373, 4879657.73583196, 0, 0), c(763183.844405362, 765084.235551283, 4877757.34468604, 4879657.73583196, 0, 0), c(765084.235551283, 765084.235551283, 4877625.74749205, 4879657.73583196, 0, 0))
"21",21,21,"Ontario","IMRP","2024-08-06T20:49:46Z",20,58,-77.6925229999999,44.0190000000001,c(765094.622648855, 4879303.14193962),21,0.000468104344429463,0.000468104344429463,0.899465745549183,0.899465745549183,21,2391.36542883916,list(c(762157.820577247, 765094.622648855, 4878086.67869156, 4879303.14193962, 0, 0), c(764255.116155536, 765094.622648855, 4877276.39397775, 4879303.14193962, 0, 0), c(763562.714693966, 765094.622648855, 4877771.23398473, 4879303.14193962, 0, 0), c(763068.11378161, 765094.622648855, 4879303.14193962, 4879303.14193962, 0, 0))
"22",22,22,"Ontario","IMRP","2024-08-06T20:51:43Z",60,82,-77.692602,44.0190200000001,c(765088.201333956, 4879305.10914709),22,0.00781163885380382,0.00781163885380382,1.02639299055315,1.02639299055315,22,2391.39952898287,list(c(762153.440909495, 765088.201333956, 4878089.49157696, 4879305.10914709, 0, 0), c(764243.246297232, 765088.201333956, 4877265.20723784, 4879305.10914709, 0, 0), c(763558.561547549, 765088.201333956, 4877775.46936068, 4879305.10914709, 0, 0), c(763070.376258607, 765088.201333956, 4879305.10914709, 4879305.10914709, 0, 0))
"23",23,23,"Ontario","IMRP","2024-08-06T20:54:31Z",40,75,-77.692559,44.0189120000001,c(765092.129662605, 4879293.25148939),23,0.0025402967201183,0.0025402967201183,1.00622555008605,1.00622555008605,23,2387.01604697468,list(c(762166.203698142, 765092.129662605, 4878081.29327241, 4879293.25148939, 0, 0), c(764257.562253775, 765092.129662605, 4877278.42753228, 4879293.25148939, 0, 0), c(763566.682732249, 765092.129662605, 4877767.80455904, 4879293.25148939, 0, 0), c(763049.202391005, 765092.129662605, 4879293.25148939, 4879293.25148939, 0, 0))
"24",24,24,"Ontario","IMRP","2024-08-06T20:55:33Z",20,80,-77.692574,44.01885,c(765091.203915918, 4879286.31657691),24,0.00470178827077614,0.00470178827077614,1.12537114246487,1.12537114246487,24,2383.38149847465,list(c(762171.820841989, 765091.203915918, 4878077.06851392, 4879286.31657691, 0, 0), c(764260.522714346, 765091.203915918, 4877280.87475407, 4879286.31657691, 0, 0), c(763569.905604258, 765091.203915918, 4877765.01826525, 4879286.31657691, 0, 0), c(763039.710682856, 765091.203915918, 4879286.31657691, 4879286.31657691, 0, 0))
